,Model,Accuracy (Mean),Accuracy (Std),Precision,Recall,F1,AUC
0,Lasso,0.6354669140383425,0.03009815972267853,0.7604790419161677,0.6318407960199005,0.6902173913043478,0.7065460101069456
1,NaiveBayes,0.5192846835703978,0.0440986088573706,0.7931034482758621,0.22885572139303484,0.35521235521235517,0.6375994045520428
2,k-NN(5),0.7403525046382189,0.042420251845749886,0.7696335078534031,0.7313432835820896,0.75,0.7737689505229757
3,Decision Tree,0.751494537208823,0.048469556252927065,0.7514792899408284,0.6318407960199005,0.6864864864864865,0.6505660673012887
4,Bagging(Tree),0.6884147598433313,0.02711220182479026,0.8167539267015707,0.7761194029850746,0.7959183673469388,0.781780075997963
5,Bagging(kNN),0.7169140383426098,0.04364156856489026,0.78125,0.746268656716418,0.7633587786259542,0.761781642966271
6,Random Forest,0.6852813852813854,0.026124239655938478,0.740909090909091,0.8109452736318408,0.7743467933491687,0.7850119481333491
7,Extremely Randomized Trees,0.6455576169861883,0.03661320172605171,0.6951219512195121,0.8507462686567164,0.7651006711409395,0.7162220394092529
8,Ada Boost,0.7759946402803545,0.04478834737364178,0.8235294117647058,0.835820895522388,0.8296296296296296,0.8496102166333686
9,Voting,0.7759946402803545,0.04478834737364178,0.8291139240506329,0.6517412935323383,0.7298050139275766,0.8201512124417285
